city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
934322,Mahébourg,MU,-20.4081,57.7,11/13/21,            25.14,83,40,4.63
372884,Kapoeta,SS,4.7717,33.5903,11/13/21,            26.7,53,15,5.44
2647984,Great Yarmouth,GB,52.6083,1.7305,11/13/21,            11.24,94,98,5.39
3374210,São Filipe,CV,14.8961,-24.4956,11/13/21,            23.92,73,50,3.5
3520994,Puerto Escondido,MX,15.85,-97.0667,11/13/21,            25.13,63,5,1.95
3385899,Tutóia,BR,-2.7619,-42.2744,11/13/21,            26.87,81,11,4.57
3126369,Carballo,ES,43.213,-8.691,11/13/21,            8.75,83,17,1.23
5000950,Marquette,US,46.5333,-87.6335,11/13/21,            -0.92,72,99,2.22
5905393,Bonavista,CA,48.6499,-53.1147,11/13/21,            10.06,93,100,11.9
2409914,Bonthe,SL,7.5264,-12.505,11/13/21,            25.3,84,100,1.94
2270385,Camacha,PT,33.0833,-16.3333,11/13/21,            18.42,72,20,2.57
3374120,Vila do Maio,CV,15.1333,-23.2167,11/13/21,            24.44,73,100,4.36
1701054,Marawi,PH,7.9986,124.2928,11/13/21,            23.14,76,81,1.66
890516,Gwanda,ZW,-20.9333,29,11/13/21,            22.63,45,40,1.63
3372472,Vila Franca do Campo,PT,37.7167,-25.4333,11/13/21,            16.78,95,100,5.83
6094665,Osoyoos,CA,49.0331,-119.4524,11/13/21,            6.66,90,100,2.06
7601762,Bairiki Village,KI,1.3292,172.9752,11/13/21,            30,66,40,5.14
5392593,San Ramon,US,37.7799,-121.978,11/13/21,            18.95,74,1,0.45
694590,Semenivka,UA,52.1783,32.5818,11/13/21,            -0.23,90,100,2.66
2126710,Beringovskiy,RU,63.05,179.3167,11/13/21,            -2.73,97,99,1.39
3454005,Piaçabuçu,BR,-10.4056,-36.4344,11/13/21,            24.27,83,7,2.21
1337610,Thinadhoo,MV,0.5333,72.9333,11/13/21,            28.43,72,61,6.14
1885823,Jiangyou,CN,31.7667,104.7167,11/13/21,            11.84,63,97,1.29
3451190,Rio de Janeiro,BR,-22.9028,-43.2075,11/13/21,            21.06,79,0,2.06
3377301,Mabaruma,GY,8.2,-59.7833,11/13/21,            22.91,96,73,0.87
1516589,Zhezkazgan,KZ,47.8043,67.7144,11/13/21,            -1.48,67,100,7.19
2425791,Sarh,TD,9.1429,18.3923,11/13/21,            23.95,83,0,0
1521351,Kazygurt,KZ,41.7589,69.3864,11/13/21,            2.88,67,98,2.76
1164896,Sibi,PK,29.5448,67.8764,11/13/21,            20.33,8,0,1.75
2012530,Zhigansk,RU,66.7697,123.3711,11/13/21,            -31.62,98,46,2.18
203717,Yangambi,CD,0.8102,24.4336,11/13/21,            20.16,99,99,0.92
2181625,Te Anau,NZ,-45.4167,167.7167,11/13/21,            10.62,93,100,0.21
1292037,Thayetmyo,MM,19.3167,95.1833,11/13/21,            28.31,72,87,0.92
3838859,Río Gallegos,AR,-51.6226,-69.2181,11/13/21,            8.03,87,90,2.06
3691582,Talara,PE,-4.5772,-81.2719,11/13/21,            17.17,89,2,6.63
1850523,Tateyama,JP,34.9833,139.8667,11/13/21,            20.01,59,86,8.2
488593,Staroutkinsk,RU,57.2302,59.3348,11/13/21,            -5,92,100,4.01
3414079,Olafsvik,IS,64.8945,-23.7142,11/13/21,            8.69,88,100,17.97
2137773,Vao,NC,-22.6667,167.4833,11/13/21,            25.07,77,8,2.82
2025456,Chernyshevskiy,RU,63.0128,112.4714,11/13/21,            -20.38,94,100,1.45
3175096,Laas,IT,46.6166,10.7002,11/13/21,            7.49,99,100,0.94
2186111,Ngunguru,NZ,-35.6167,174.5,11/13/21,            26.2,62,100,6.08
2316259,Bulungu,CD,-4.55,18.6,11/13/21,            19.88,98,100,1.19
3491161,Bull Savanna,JM,17.8868,-77.5902,11/13/21,            24.01,84,100,2.32
3398480,Gurupá,BR,-1.405,-51.64,11/13/21,            23.88,88,45,1.41
3416888,Grindavik,IS,63.8424,-22.4338,11/13/21,            9.97,93,90,15.95
6089245,Norman Wells,CA,65.282,-126.8329,11/13/21,            -9.98,85,90,5.66
3517970,Pochutla,MX,15.7432,-96.4661,11/13/21,            25.9,70,2,1.52
2128382,Rumoi,JP,43.9344,141.6428,11/13/21,            10.26,75,74,5.25
2167426,Emerald,AU,-23.5333,148.1667,11/13/21,            27.08,22,0,2.57
3899539,Antofagasta,CL,-23.65,-70.4,11/13/21,            15.6,82,96,2.53
