Success found: Shitanjing  City ID:1794971 
Success found: Olinda  City ID:3393536 
413. scottsburgh was not found. 
Success found: Basti  City ID:1276736 
Success found: Rafai  City ID:236524 
Success found: Shangrao  City ID:1787858 
Success found: Taksimo  City ID:2015701 
Success found: Okha  City ID:2122614 
Success found: Dubbo  City ID:2168305 
Success found: Alcañiz  City ID:3130606 
Success found: Aquiraz  City ID:3407407 
Success found: Pacifica  City ID:5380420 
Success found: Marzuq  City ID:72181 
Success found: Abu Samrah  City ID:172515 
Success found: Lukhovka  City ID:533541 
Success found: Baykit  City ID:1510689 
Success found: Zharkent  City ID:1520253 
Success found: Micheweni  City ID:153955 
Success found: Meulaboh  City ID:1214488 
Success found: Itaueira  City ID:3397865 
Success found: Saint-Joseph  City ID:6690296 
Success found: Ginir  City ID:336454 
Success found: Quang Ngai  City ID:1568770 
Success found: Morant Bay  City ID:3489440 
Success found: Ostrovnoy  City ID:556268 
Success found: Santa Maria  City ID:3450083 
Success found: Namatanai  City ID:2090021 
Success found: Abalak  City ID:1512223 
439. lolua was not found. 
440. mizan teferi was not found. 
Success found: Øksfjord  City ID:778362 
Success found: Monrovia  City ID:2274895 
Success found: Puerto del Rosario  City ID:2512186 
Success found: Zaragoza  City ID:3104324 
Success found: Houma  City ID:4328010 
446. jamnah was not found. 
Success found: Tessalit  City ID:2449893 
Success found: Bobo-Dioulasso  City ID:2362344 
449. kytlym was not found. 
Success found: Miami  City ID:4164138 
Success found: Shubarkuduk  City ID:608271 
Success found: Itatuba  City ID:3397875 
Success found: Zhitnevo  City ID:857691 
Success found: Harper  City ID:2276492 
Success found: Halifax  City ID:6324729 
Success found: Esperance  City ID:2071860 
Success found: Broken Hill  City ID:2173911 
Success found: Tapejara  City ID:3446922 
Success found: Corbélia  City ID:3465536 
Success found: Belyy Yar  City ID:1510377 
461. ngukurr was not found. 
Success found: Bangui  City ID:2389853 
Success found: Danielskuil  City ID:1011918 
Success found: Saint Anthony  City ID:5044290 
Success found: Pontes e Lacerda  City ID:3453060 
Success found: Hofn  City ID:2630299 
Success found: Samut Sakhon  City ID:1606587 
Success found: Alugan  City ID:1731248 
Success found: Gaogou  City ID:1810553 
Success found: Ulladulla  City ID:2145554 
471. sorvag was not found. 
Success found: Talcahuano  City ID:3870282 
Success found: Marfino  City ID:529368 
Success found: Krasnosel'kup  City ID:1502073 
475. nigde was not found. 
Success found: Port Hedland  City ID:2063042 
Success found: College  City ID:5859699 
478. tarudant was not found. 
Success found: Bariloche  City ID:7647007 
Success found: Ust'-Ilimsk  City ID:2013952 
Success found: Grand-Lahou  City ID:2288105 
Success found: Denpasar  City ID:1645528 
Success found: Yining  City ID:1786538 
484. umm durman was not found. 
Success found: Iroquois Falls  City ID:5984000 
Success found: Sherpur  City ID:1337248 
Success found: Castrillón  City ID:3125723 
Success found: Lashio  City ID:1314759 
Success found: Priargunsk  City ID:2017646 
490. koscierzyna was not found. 
Success found: Petropavlovsk-Kamchatskiy  City ID:2122104 
Success found: Ségou  City ID:2451478 
Success found: Kentau  City ID:1522751 
Success found: Winchester  City ID:2633858 
Success found: Roswell  City ID:4219934 
Success found: Makungu  City ID:155093 
Success found: Willowmore  City ID:939676 
Success found: Junnar  City ID:1268761 
Success found: Riviere-au-Renard  City ID:6943832 
Success found: Den Helder  City ID:2757220 
Success found: Paphos  City ID:146214 
Success found: Manakara  City ID:1061605 
Success found: Tibati  City ID:2221530 
Success found: Caravelas  City ID:3466980 
Success found: Rypefjord  City ID:847634 
506. tumannyy was not found. 
Success found: Baghdad  City ID:98182 
Success found: Banda Aceh  City ID:1215502 
509. toliary was not found. 
Success found: Llanes  City ID:3118304 
Success found: Petites Anses  City ID:3578351 
Success found: Sertânia  City ID:3387663 
Success found: Xichang  City ID:1789647 
Success found: Ciudad Sabinas Hidalgo  City ID:3988327 
Success found: Guerrero Negro  City ID:4021858 
Success found: Broome  City ID:5110365 
Success found: Miyako  City ID:2111884 
Success found: West Bay  City ID:3580477 
Success found: Biltine  City ID:244878 
Success found: Ahipara  City ID:2194098 
Success found: Port Hawkesbury  City ID:6111867 
Success found: Pecos  City ID:5528182 
Success found: Tagusao  City ID:1684245 
Success found: Laguna  City ID:5364271 
Success found: Peniche  City ID:2264923 
Success found: El Salvador  City ID:3585968 
